code,korean_title,num_of_audience,key_review,score_male,score_female,scores_per_age,num_per_genders,num_per_ages
106522,우아한 거짓말,807,이 영화는 10대 여성이 좋아하는 연기가 뛰어난 영화입니다.,8.19,8.26,"[8.55, 8.18, 8.14, 8.27, 8.72]","[39, 61]","[9, 50, 21, 18, 2]"
140226,원펀치 2,,,,,[],[],[]
107374,나를 잊지 말아요,681,이 영화는 20대 남성이 좋아하는 연기가 뛰어난 영화입니다.,6.98,6.52,"[6.27, 6.76, 6.77, 6.78, 6.33]","[43, 57]","[5, 52, 27, 12, 5]"
149027,이탈리안 레이스,1,이 영화는 30대 남성이 좋아하는 연기가 뛰어난 영화입니다.,10,0,"[0.0, 0.0, 0.0, 10.0, 0.0]","[100, 21]","[0, 0, 0, 100, 0]"
124041,차이나타운,1707,이 영화는 20대 여성이 좋아하는 연기가 뛰어난 영화입니다.,7.53,7.62,"[8.04, 7.7, 7.35, 7.3, 7.6]","[50, 50]","[3, 58, 25, 11, 4]"
142242,이웃집에 신이 산다,591,이 영화는 20대 여성이 좋아하는 스토리가 뛰어난 영화입니다.,6.94,7.63,"[7.74, 7.18, 7.92, 6.97, 7.75]","[45, 55]","[5, 73, 15, 5, 3]"
115366,도희야,80,이 영화는 20대 여성이 좋아하는 연기가 뛰어난 영화입니다.,6.63,7.6,"[7.33, 7.09, 7.53, 8.57, 6.0]","[34, 66]","[4, 59, 24, 9, 5]"
71705,공각기동대 S.A.C - Solid State Society,,,,,[],[],[]
127397,콩: 스컬 아일랜드,2782,이 영화는 20대 남성이 좋아하는 영상미가 뛰어난 영화입니다.,8.05,8.26,"[8.49, 8.31, 7.99, 7.98, 8.19]","[61, 39]","[1, 41, 29, 25, 4]"
103760,강남 1970,3020,이 영화는 20대 남성이 좋아하는 연기가 뛰어난 영화입니다.,7.66,7.87,"[7.95, 7.63, 7.63, 8.28, 8.09]","[52, 48]","[1, 49, 29, 15, 5]"
132627,레고 배트맨 무비,383,이 영화는 30대 여성이 좋아하는 연출이 뛰어난 영화입니다.,8.56,8.76,"[9.67, 8.67, 8.71, 8.65, 8.62]","[32, 68]","[2, 16, 48, 32, 2]"
151751,로건 럭키,27,이 영화는 30대 남성이 좋아하는 연출이 뛰어난 영화입니다.,8,9,"[0.0, 8.08, 8.83, 8.67, 0.0]","[52, 48]","[0, 44, 44, 11, 0]"
147035,기동순찰대,,,,,[],[],[]
160116,미스터 루즈벨트,,,,,[],[],[]
167577,크립 2,,,,,[],[],[]
154252,브라이트,,,,,[],[],[]
156561,제레미아 타워: 더 라스트 매그니피센트,,,,,[],[],[]
121052,넛잡 2,608,이 영화는 30대 여성이 좋아하는 연출이 뛰어난 영화입니다.,8.44,8.68,"[7.25, 8.34, 8.8, 8.38, 6.75]","[23, 77]","[1, 6, 63, 30, 1]"
140064,샷 콜러,6,이 영화는 30대 남성이 좋아하는 연기가 뛰어난 영화입니다.,8.67,9,"[0.0, 9.0, 9.0, 8.0, 0.0]","[50, 50]","[0, 50, 33, 17, 0]"
165791,더 포리너,4,이 영화는 30대 남성이 좋아하는 연기가 뛰어난 영화입니다.,10,9.33,"[0.0, 10.0, 9.0, 0.0, 0.0]","[25, 75]","[0, 50, 50, 0, 0]"
