old_index,title,release_date,series_or_movies,genre_list,drama,comedy,action,thriller,romance,crime,adventure,animation,fantasy,family,sci-fi,mystery,horror,documentary,biography,history,music,short,sport,war,musical,reality-tv,western,game-show,talk-show,img_link,imdb_votes
2073,Unsolved Mysteries,2020-07-01,Series,"['다큐멘터리', '범죄', '미스터리']",0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,https://occ-0-2774-2773.1.nflxso.net/dnm/api/v6/evlCitJPPCVCry0BZlEFb5-QjKc/AAAABadRxy0kWG7b7DJ8LRgq-6mLxjlzfMiVsGUPEDJyc7f2heIkYxah6RVm21o3s7SHpOIv9LeHG4FYyDCAWltfaqK2mETvHWl0atMgDRTvlKkoLwnTPrx7cwqFwvU.jpg?r=2aa,7365
7230,Car Masters  Rust to Riches,2018-09-14,Series,['리얼리티'],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,https://occ-0-2851-38.1.nflxso.net/dnm/api/v6/evlCitJPPCVCry0BZlEFb5-QjKc/AAAABauz9-JORl6760Yxzv7wrKfp56zusuvzIe2SY-iLnqTpbqwH8iwp4LpdSWbAQ4pgrmkHfP8Lgz9HAz-INSKrwUGY2ezO2tatx5rS8wqEU0c04GeY8ZRgKXyRBI8.jpg?r=897,7216
1061,Fabulous Lives of Bollywood Wives,2020-11-27,Series,['리얼리티'],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,https://occ-0-1068-92.1.nflxso.net/dnm/api/v6/evlCitJPPCVCry0BZlEFb5-QjKc/AAAABb73C7t1hhCrUaEYrmd5aVUqS7EOQA1AowuHtsUcsD1IiolH4SUIBouZ_AOImaoXFDwYvvgHMowPQUfse7wj3JkbPxh-tUdsMrLmP9HGBLL_jnx1MvG2nTOdXXA.jpg?r=423,7079
3841,Babies,2010-05-07,Series,['다큐멘터리'],0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,https://occ-0-2851-38.1.nflxso.net/dnm/api/v6/evlCitJPPCVCry0BZlEFb5-QjKc/AAAABW08gLdxlXIJLbwpG93Hcl2jsqNLPSVc3LUhcOEb0Sk4SNt0Qwf3gGn-a_kZXV4P9ZBRcLd7T9RXkLB1TP627VheHYQK8PT34zB0NdRJKVcT6WLp6AYjBrOgaRs.jpg?r=6e3,6969
8963,Damnation,,Series,"['범죄', '드라마', '서부']",1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,https://occ-0-2851-38.1.nflxso.net/dnm/api/v6/evlCitJPPCVCry0BZlEFb5-QjKc/AAAABa1u1AAO_WimfdHKs5UV7QcNnsAws5DqOUI2pcFzh3Uo5GuetpGyX4rNB6djgftpk9HQkFyEM-TdiqvxyhAQxY0-NeczKZu9LYuMNbnKGkaysgHISs7t1nWG6nU.jpg?r=cec,6923
12697,Explained,2018-05-23,Series,['다큐멘터리'],0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,https://occ-0-2851-38.1.nflxso.net/dnm/api/v6/evlCitJPPCVCry0BZlEFb5-QjKc/AAAABZyRlILXpjH65ZMcrU1LHDObUQLj7abxLnxCKIC7EIiGmKBWrSBMId1w1po5aEzqfbxX2gfRgi__4FkvM5-BeFxNPSWvD2qGp_mWcdA7uOyLg0Cx94vWSmYiNas.jpg?r=92f,6882
6601,Sunderland Til I Die,2018-12-14,Series,"['다큐멘터리', '스포츠']",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,https://occ-0-2851-38.1.nflxso.net/dnm/api/v6/evlCitJPPCVCry0BZlEFb5-QjKc/AAAABdplADm8CKDvnYFD9NZ-u0BqpB2qSV5YyIxn3JSTtQEDV-shDXP8tfLfT-YmCL9ldFPKDzBcWqznEt1ZG0dYhQ5l_rA5-pqtU8N_sDd9gbZFQogLqNSrPFJZkvY.jpg?r=e27,6706
10036,Bill Nye Saves the World,2017-04-21,Series,"['코미디', '토크쇼']",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,https://occ-0-2851-38.1.nflxso.net/dnm/api/v6/evlCitJPPCVCry0BZlEFb5-QjKc/AAAABSASlnTrsLaK2iQ_d38-iTf7bQ2-vmSQGiEmFh_htNEyiNhZi0MzChfjBqE2aD4xDq009xNOoJchMLXVdin4rYN75d12n6DdKTo3GTDJevLbKDOr4Dji-98-S5Y.jpg?r=214,6656
6904,Patriot Act with Hasan Minhaj,2018-10-28,Series,"['코미디', 'news', '토크쇼']",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,https://occ-0-2851-38.1.nflxso.net/dnm/api/v6/evlCitJPPCVCry0BZlEFb5-QjKc/AAAABUcReXnb5fd3GpjK9uQ-Mam2tBJ2d_Ego71Ewxghq9w28FeUyEH6-XX1ZS-l96xezkR-ZW7JBkQVfJHoZrP4sDbL1LZQHSIu40iY4-4UEd3IQYerY8Lp6peuvvs.jpg?r=317,6538
4354,The Confession Killer,2019-12-06,Series,"['다큐멘터리', '범죄']",0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,https://occ-0-2851-38.1.nflxso.net/dnm/api/v6/evlCitJPPCVCry0BZlEFb5-QjKc/AAAABVuHoxtQYQ7M_mwQLAjae0L0VN2jndj0Eh4-ortTiNOFf443I6QRBth2Jthf814BSUIutfQXuREC72g7xuQVW7IhbML_HtGoPOxUVt4ro6NbE9isCbqLUiBGo8w.jpg?r=535,6395
