,code,spa_10s_npg_male,spa_10s_npg_female,spa_20s_npg_male,spa_20s_npg_female,spa_30s_npg_male,spa_30s_npg_female,spa_40s_npg_male,spa_40s_npg_female,spa_50s_npg_male,spa_50s_npg_female
245,186821.0,4.63,5.23,3.99,4.5,3.83,4.32,3.96,4.46,3.93,4.43
246,182355.0,5.44,3.33,5.54,3.4,5.51,3.38,5.33,3.27,5.33,3.27
247,182017.0,,,,,,,,,,
248,185340.0,,,,,,,,,,
249,194802.0,,,,,,,,,,
250,194803.0,,,,,,,,,,
251,191002.0,,,,,,,,,,
252,193856.0,,,,,,,,,,
253,190720.0,0.0,0.0,6.24,2.8,6.09,2.74,5.38,2.42,5.87,2.63
254,194318.0,,,,,,,,,,
255,193488.0,,,,,,,,,,
256,194726.0,,,,,,,,,,
257,192481.0,,,,,,,,,,
258,174808.0,,,,,,,,,,
259,192027.0,,,,,,,,,,
260,193921.0,,,,,,,,,,
261,176306.0,5.71,2.94,5.68,2.92,5.59,2.88,5.43,2.79,5.53,2.85
262,74407.0,7.43,1.97,6.8,1.81,6.26,1.66,6.71,1.78,6.32,1.68
263,191918.0,,,,,,,,,,
264,181695.0,,,,,,,,,,
265,189712.0,0.0,0.0,0.0,0.0,5.0,1.1,0.0,0.0,0.0,0.0
266,193828.0,,,,,,,,,,
267,12781.0,,,,,,,,,,
268,190806.0,,,,,,,,,,
269,193827.0,,,,,,,,,,
270,193079.0,,,,,,,,,,
271,199586.0,,,,,,,,,,
272,177509.0,4.48,3.52,4.09,3.21,4.44,3.48,4.3,3.37,4.23,3.33
273,127858.0,3.08,6.25,2.89,5.87,2.85,5.79,2.82,5.72,0.0,0.0
274,24008.0,,,,,,,,,,
275,39640.0,2.99,6.67,2.89,6.42,2.86,6.36,2.91,6.48,2.82,6.27
276,83410.0,,,,,,,,,,
277,193862.0,,,,,,,,,,
278,191759.0,,,,,,,,,,
279,35012.0,,,,,,,,,,
280,193124.0,,,,,,,,,,
281,183876.0,4.72,3.87,4.76,3.89,4.76,3.89,4.82,3.95,4.64,3.79
