,code,npa_10s_npg_male,npa_10s_npg_female,npa_20s_npg_male,npa_20s_npg_female,npa_30s_npg_male,npa_30s_npg_female,npa_40s_npg_male,npa_40s_npg_female,npa_50s_npg_male,npa_50s_npg_female
192,181703.0,,,,,,,,,,
193,76960.0,0.0,0.0,22.77,10.23,26.22,11.78,13.8,6.2,6.21,2.79
194,196380.0,,,,,,,,,,
195,193686.0,,,,,,,,,,
196,184520.0,,,,,,,,,,
197,194884.0,,,,,,,,,,
198,186614.0,,,,,,,,,,
199,107072.0,,,,,,,,,,
200,195431.0,,,,,,,,,,
201,92001.0,,,,,,,,,,
202,193173.0,,,,,,,,,,
203,186613.0,1.65,3.35,16.17,32.83,7.59,15.41,4.95,10.05,2.97,6.03
204,102802.0,,,,,,,,,,
205,172789.0,,,,,,,,,,
206,212271.0,,,,,,,,,,
207,192480.0,,,,,,,,,,
208,74902.0,,,,,,,,,,
209,187349.0,1.68,1.32,19.6,15.4,13.44,10.56,15.68,12.32,6.16,4.84
210,188057.0,,,,,,,,,,
211,195092.0,,,,,,,,,,
212,183110.0,1.74,1.26,24.36,17.64,15.66,11.34,11.02,7.98,5.22,3.78
213,179719.0,,,,,,,,,,
214,186611.0,,,,,,,,,,
215,194321.0,,,,,,,,,,
216,209442.0,,,,,,,,,,
217,85578.0,0.98,1.02,23.52,24.48,13.72,14.28,7.35,7.65,2.94,3.06
218,174807.0,0.41,0.59,16.4,23.6,18.45,26.55,2.87,4.13,2.87,4.13
219,175365.0,0.0,0.0,1.52,6.48,14.06,59.94,3.42,14.58,0.0,0.0
220,177975.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,25.0,0.0,0.0
221,154986.0,0.0,0.0,24.51,32.49,18.49,24.51,0.0,0.0,0.0,0.0
222,202670.0,,,,,,,,,,
223,189961.0,,,,,,,,,,
224,193833.0,,,,,,,,,,
225,192486.0,,,,,,,,,,
226,201657.0,,,,,,,,,,
227,202535.0,,,,,,,,,,
228,177510.0,6.4,3.6,39.68,22.32,10.24,5.76,3.84,2.16,3.84,2.16
229,190447.0,0.0,0.0,6.0,6.0,31.0,31.0,12.5,12.5,0.0,0.0
230,203213.0,,,,,,,,,,
231,181046.0,4.0,16.0,12.0,48.0,4.0,16.0,0.0,0.0,0.0,0.0
232,159070.0,0.47,0.53,14.57,16.43,10.34,11.66,11.75,13.25,9.4,10.6
233,168508.0,,,,,,,,,,
234,174294.0,0.0,0.0,35.2,19.8,5.76,3.24,11.52,6.48,11.52,6.48
235,164104.0,0.96,5.04,10.08,52.92,4.48,23.52,0.48,2.52,0.16,0.84
236,198774.0,,,,,,,,,,
237,181541.0,,,,,,,,,,
238,63850.0,,,,,,,,,,
239,189537.0,2.44,1.56,24.4,15.6,21.35,13.65,8.54,5.46,4.27,2.73
240,197339.0,,,,,,,,,,
241,177374.0,2.05,2.95,16.4,23.6,9.43,13.57,9.02,12.98,4.51,6.49
242,169078.0,1.52,2.48,16.34,26.66,9.88,16.12,6.46,10.54,3.8,6.2
243,172795.0,,,,,,,,,,
244,181971.0,,,,,,,,,,
245,186821.0,0.94,1.06,20.21,22.79,14.57,16.43,6.58,7.42,4.7,5.3
246,182355.0,1.24,0.76,26.04,15.96,18.6,11.4,11.78,7.22,3.72,2.28
247,182017.0,,,,,,,,,,
248,185340.0,,,,,,,,,,
249,194802.0,,,,,,,,,,
250,194803.0,,,,,,,,,,
251,191002.0,,,,,,,,,,
252,193856.0,,,,,,,,,,
253,190720.0,0.0,0.0,27.6,12.4,26.91,12.09,5.52,2.48,8.97,4.03
254,194318.0,,,,,,,,,,
255,193488.0,,,,,,,,,,
256,194726.0,,,,,,,,,,
257,192481.0,,,,,,,,,,
258,174808.0,,,,,,,,,,
259,192027.0,,,,,,,,,,
260,193921.0,,,,,,,,,,
261,176306.0,0.66,0.34,21.78,11.22,26.4,13.6,11.88,6.12,5.28,2.72
262,74407.0,3.95,1.05,48.19,12.81,19.75,5.25,3.16,0.84,3.16,0.84
263,191918.0,,,,,,,,,,
264,181695.0,,,,,,,,,,
265,189712.0,0.0,0.0,0.0,0.0,100.0,22.0,0.0,0.0,0.0,0.0
266,193828.0,,,,,,,,,,
267,12781.0,,,,,,,,,,
268,190806.0,,,,,,,,,,
269,193827.0,,,,,,,,,,
270,193079.0,,,,,,,,,,
271,199586.0,,,,,,,,,,
272,177509.0,0.56,0.44,15.12,11.88,15.68,12.32,17.92,14.08,6.16,4.84
273,127858.0,1.32,2.68,17.82,36.18,8.58,17.42,5.28,10.72,0.0,0.0
274,24008.0,,,,,,,,,,
275,39640.0,4.65,10.35,13.95,31.05,7.13,15.87,4.34,9.66,0.62,1.38
276,83410.0,,,,,,,,,,
277,193862.0,,,,,,,,,,
278,191759.0,,,,,,,,,,
279,35012.0,,,,,,,,,,
280,193124.0,,,,,,,,,,
281,183876.0,1.1,0.9,20.9,17.1,17.05,13.95,12.1,9.9,3.85,3.15
282,191518.0,,,,,,,,,,
283,185131.0,1.16,2.84,11.89,29.11,7.83,19.17,6.67,16.33,1.16,2.84
284,171540.0,,,,,,,,,,
285,191916.0,,,,,,,,,,
286,172113.0,6.27,4.73,32.49,24.51,7.41,5.59,8.55,6.45,2.28,1.72
287,175318.0,10.05,4.95,36.18,17.82,10.72,5.28,8.04,3.96,2.01,0.99
288,192361.0,,,,,,,,,,
289,140648.0,,,,,,,,,,
290,191686.0,,,,,,,,,,
291,30775.0,,,,,,,,,,
292,146534.0,0.5,0.5,14.5,14.5,16.0,16.0,13.0,13.0,5.5,5.5
293,165022.0,0.56,0.44,22.96,18.04,15.68,12.32,8.96,7.04,7.84,6.16
294,154419.0,0.29,0.71,15.08,36.92,8.7,21.3,2.9,7.1,2.03,4.97
295,34090.0,,,,,,,,,,
296,193864.0,,,,,,,,,,
297,191923.0,,,,,,,,,,
298,182387.0,1.5,4.5,14.5,43.5,6.25,18.75,1.5,4.5,1.25,3.75
299,189053.0,0.55,0.45,26.4,21.6,15.4,12.6,8.25,6.75,4.4,3.6
300,190026.0,0.66,2.34,9.68,34.32,7.48,26.52,1.98,7.02,1.98,7.02
301,187318.0,,,,,,,,,,
302,191641.0,,,,,,,,,,
303,191913.0,,,,,,,,,,
304,182046.0,,,,,,,,,,
305,173653.0,0.46,0.54,12.42,14.58,15.64,18.36,13.34,15.66,4.14,4.86
306,179430.0,7.68,8.32,32.64,35.36,5.76,6.24,1.92,2.08,0.0,0.0
307,132946.0,0.36,0.64,15.48,27.52,11.88,21.12,7.2,12.8,1.08,1.92
308,19302.0,,,,,,,,,,
309,,,,,,,,,,,
310,57412.0,,,,,,,,,,
311,103774.0,,,,,,,,,,
312,18782.0,,,,,,,,,,
313,189112.0,,,,,,,,,,
314,191932.0,,,,,,,,,,
315,164172.0,2.52,3.48,21.84,30.16,8.82,12.18,6.72,9.28,2.52,3.48
316,180381.0,4.37,14.63,12.42,41.58,2.53,8.47,3.22,10.78,0.46,1.54
317,188761.0,,,,,,,,,,
318,170475.0,,,,,,,,,,
319,193863.0,,,,,,,,,,
320,189971.0,,,,,,,,,,
321,182205.0,0.92,1.08,22.54,26.46,14.26,16.74,5.98,7.02,2.3,2.7
322,175404.0,0.0,0.0,23.32,29.68,12.76,16.24,5.28,6.72,2.64,3.36
323,168725.0,,,,,,,,,,
324,190597.0,,,,,,,,,,
325,180374.0,0.48,1.52,4.08,12.92,10.56,33.44,8.4,26.6,0.72,2.28
326,177381.0,3.57,3.43,20.4,19.6,14.28,13.72,12.24,11.76,0.0,0.0
327,171515.0,,,,,,,,,,
328,174797.0,0.0,0.0,21.0,21.0,14.5,14.5,8.5,8.5,6.0,6.0
329,189111.0,0.0,0.0,6.97,10.03,15.17,21.83,8.61,12.39,9.84,14.16
330,49230.0,,,,,,,,,,
331,198564.0,,,,,,,,,,
332,189049.0,,,,,,,,,,
333,182014.0,0.88,1.12,29.04,36.96,11.0,14.0,2.64,3.36,0.88,1.12
334,188056.0,0.38,0.62,15.96,26.04,15.58,25.42,4.18,6.82,1.9,3.1
335,175316.0,0.9,1.1,15.3,18.7,14.4,17.6,11.7,14.3,2.7,3.3
336,164968.0,0.0,0.0,100.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0
337,164155.0,1.52,2.48,14.06,22.94,11.02,17.98,9.5,15.5,1.9,3.1
338,201288.0,,,,,,,,,,
339,187828.0,,,,,,,,,,
340,185272.0,,,,,,,,,,
341,172458.0,,,,,,,,,,
342,157052.0,,,,,,,,,,
