,code,spa_10s_npa_10s,spa_20s_npa_20s,spa_30s_npa_30s,spa_40s_npa_40s,spa_50s_npa_50s
476,,,,,,
477,,,,,,
478,,,,,,
479,31801.0,0.96,4.15,1.9,1.14,1.08
480,154625.0,0.0,4.52,2.69,1.1,0.18
481,168172.0,0.0,4.73,3.3,0.81,0.15
482,159747.0,0.4,1.43,3.78,0.5,2.66
483,,,,,,
484,,,,,,
485,83528.0,0.0,4.5,3.17,1.2,0.0
486,172798.0,0.0,0.9,5.53,2.65,0.0
487,,,,,,
488,169899.0,0.0,0.0,2.0,2.0,4.5
489,160009.0,0.0,2.92,3.52,2.09,1.06
490,,,,,,
491,,,,,,
492,,,,,,
493,179840.0,0.0,1.53,1.98,1.7,2.64
494,162265.0,0.0,4.75,4.25,0.0,0.0
495,75744.0,0.5,5.67,2.48,0.4,0.0
496,,,,,,
497,,,,,,
498,154981.0,0.9,5.41,1.74,0.0,0.0
499,146566.0,0.0,3.98,1.25,1.55,1.39
500,159827.0,0.07,3.47,3.17,0.73,0.19
501,175727.0,0.0,0.56,7.04,1.63,0.09
502,162423.0,0.0,3.91,2.72,1.36,0.56
503,159670.0,0.0,0.0,1.32,1.32,3.3
504,172040.0,1.29,5.84,1.34,0.38,0.16
505,159731.0,0.0,4.93,1.12,3.17,0.0
506,167107.0,0.57,5.2,2.67,0.71,0.38
507,75378.0,1.0,5.0,3.5,0.0,0.0
508,,,,,,
509,54970.0,0.0,3.96,2.75,1.98,0.0
510,,,,,,
511,159894.0,0.4,3.24,3.09,0.5,1.39
512,,,,,,
513,,,,,,
514,,,,,,
515,,,,,,
516,,,,,,
517,153580.0,0.0,3.12,2.08,1.19,0.77
518,181104.0,0.2,4.26,1.76,0.74,0.8
519,,,,,,
520,142739.0,0.12,3.47,1.75,0.91,0.41
521,99752.0,0.53,3.29,1.97,1.18,0.3
522,167787.0,0.67,5.42,1.88,0.99,0.48
523,159311.0,0.27,6.11,2.02,0.64,0.16
524,,,,,,
525,,,,,,
526,,,,,,
527,,,,,,
528,,,,,,
529,,,,,,
530,,,,,,
531,,,,,,
532,,,,,,
533,154653.0,0.0,3.55,3.91,0.77,0.79
534,163533.0,0.18,2.91,2.31,2.36,0.96
