PID,성별,연령,직업,ott 주중 이용시간대,ott 주말 이용시간대
243101,남,55,생산직,21:00~23:59,21:00~23:59
243201,여,48,주부,21:00~23:59,이용하지 않음
243202,남,50,사무직,21:00~23:59,이용하지 않음
243301,여,40,사무직,18:00~20:59,이용하지 않음
243302,남,46,사무직,18:00~20:59,18:00~20:59
243701,여,68,주부,15:00~17:59,15:00~17:59
243901,남,60,서비스/판매직,21:00~23:59,21:00~23:59
244101,남,56,생산직,21:00~23:59,21:00~23:59
244301,여,55,서비스/판매직,21:00~23:59,21:00~23:59
244302,남,59,사무직,18:00~20:59,이용하지 않음
244303,여,27,사무직,21:00~23:59,21:00~23:59
244501,여,73,주부,15:00~17:59,15:00~17:59
244502,남,76,무직,15:00~17:59,15:00~17:59
244601,남,57,사무직,21:00~23:59,21:00~23:59
244801,남,44,사무직,21:00~23:59,18:00~20:59
244901,여,70,주부,18:00~20:59,이용하지 않음
244902,남,72,생산직,18:00~20:59,이용하지 않음
245001,여,40,주부,21:00~23:59,21:00~23:59
245002,남,15,학생,18:00~20:59,18:00~20:59
245101,남,37,사무직,18:00~20:59,이용하지 않음
245102,여,34,주부,15:00~17:59,15:00~17:59
245601,여,70,주부,12:00~14:59,이용하지 않음
246001,여,45,주부,9:00~11:59,이용하지 않음
246101,여,47,주부,12:00~14:59,이용하지 않음
246102,남,52,사무직,18:00~20:59,이용하지 않음
246201,남,81,무직,15:00~17:59,15:00~17:59
246202,여,76,주부,9:00~11:59,이용하지 않음
246302,여,59,서비스/판매직,9:00~11:59,9:00~11:59
246403,남,33,생산직,18:00~20:59,이용하지 않음
246901,남,67,무직,12:00~14:59,12:00~14:59
247301,남,40,사무직,18:00~20:59,이용하지 않음
247302,여,36,사무직,21:00~23:59,12:00~14:59
247901,여,71,생산직,12:00~14:59,이용하지 않음
248101,여,37,주부,9:00~11:59,9:00~11:59
248401,여,75,주부,12:00~14:59,12:00~14:59
248501,여,40,주부,15:00~17:59,15:00~17:59
248601,여,68,주부,15:00~17:59,이용하지 않음
248901,여,36,주부,12:00~14:59,12:00~14:59
249001,여,48,주부,12:00~14:59,15:00~17:59
249301,여,41,주부,15:00~17:59,15:00~17:59
249601,남,56,생산직,이용하지 않음,이용하지 않음
249602,여,54,주부,9:00~11:59,21:00~23:59
249603,남,19,생산직,18:00~20:59,18:00~20:59
249604,여,16,학생,24:00~5:59,24:00~5:59
249605,여,16,학생,24:00~5:59,18:00~20:59
249701,남,33,서비스/판매직,15:00~17:59,15:00~17:59
249702,여,34,주부,12:00~14:59,15:00~17:59
249901,여,68,주부,21:00~23:59,21:00~23:59
250002,남,26,서비스/판매직,24:00~5:59,21:00~23:59
250102,여,57,주부,15:00~17:59,이용하지 않음
250401,여,60,무직,9:00~11:59,15:00~17:59
250601,여,69,무직,18:00~20:59,18:00~20:59
250801,여,32,주부,12:00~14:59,15:00~17:59
250901,여,36,주부,12:00~14:59,15:00~17:59
251001,여,33,사무직,21:00~23:59,15:00~17:59
251301,여,68,무직,15:00~17:59,이용하지 않음
251701,여,73,무직,15:00~17:59,이용하지 않음
252501,여,55,주부,21:00~23:59,21:00~23:59
252502,여,22,무직,21:00~23:59,21:00~23:59
252701,남,51,생산직,21:00~23:59,15:00~17:59
252801,여,43,생산직,21:00~23:59,이용하지 않음
253001,여,50,주부,15:00~17:59,이용하지 않음
253101,여,55,서비스/판매직,21:00~23:59,21:00~23:59
253102,여,22,사무직,21:00~23:59,21:00~23:59
253301,남,70,무직,15:00~17:59,이용하지 않음
253601,여,61,주부,15:00~17:59,15:00~17:59
