code,korean_title,english_title,genre_list,country,released_date,director,actors
129407,아 추,achoo,"['드라마', '멜로/로맨스', '판타지', '액션']",['대만'],,"케빈 코, 척가기","['임의신', ' 가진동더보기']"
197283,휴비의 핼러윈,hubiehalloween,"['코미디', '미스터리']",['미국'],,스티븐 브릴,"['페이튼 리스트', ' 아담 샌들러', ' 줄리 보웬더보기']"
172118,극장판 도라에몽: 진구의 보물섬,doraemonthemovienobitastreasureisland,['애니메이션'],['일본'], 2018.08.15,이마이 카즈아키,"['윤아영(도라에몽 한국어 목소리)', ' 김정아(진구 한국어 목소리)', ' 조현정(이슬이 한국어 목소리)더보기']"
181965,허니 보이,honeyboy,['드라마'],['미국'],,엘머 하렐,"['루카스 헤지스(성인 오티스)', ' 샤이아 라보프(제임스 로츠)', ' 마이카 먼로(산드라)더보기']"
192148,판타지 아일랜드,blumhousesfantasyisland,"['모험', '코미디', '공포']",['미국'],,제프 와드로,"['마이클 페나', ' 매기 큐', ' 루시 헤일더보기']"
193170,블랙크리스마스,blackchristmas,"['미스터리', '스릴러']",['미국'],,소피아 타칼,['이모겐 푸츠더보기']
178143,더 바인딩,thebinding,"['드라마', '전쟁']",['미국'],,댄 브론펠드,['카림 살레더보기']
193868,보이즈 인 더 밴드,theboysintheband,['드라마'],['미국'],,조 망텔로,"['짐 파슨스', ' 재커리 퀸토', ' 맷 보머더보기']"
196389,에놀라 홈즈,enolaholmes,"['모험', '범죄', '드라마']",['영국'],,해리 브래드비어,"['밀리 바비 브라운', ' 헨리 카빌', ' 샘 클라플린더보기']"
155406,하이앤로우 더 레드 레인,highlowtheredrain,"['느와르', '액션']",['일본'],,야마구치 유다이,"['타카히로', ' 토사카 히로오미', ' 사이토 타쿠미더보기']"
150657,하이앤로우 더 무비,highlowthemovie,['액션'],['일본'],,쿠보 시게아키,"['아키라', ' 아오야기 쇼', ' 타카야 히로유키더보기']"
30782,위트,whipped,"['코미디', '멜로/로맨스']",['미국'],,피터 M. 코엔,"['아만다 피트(미아)', ' 브라이언 반 홀트(브래드)더보기']"
191560,악마는 사라지지 않는다,thedevilallthetime,"['범죄', '스릴러', '드라마']",['미국'], 2020.09.16,안토니오 캠포스,"['로버트 패틴슨', ' 톰 홀랜드', ' 세바스찬 스탠더보기']"
52593,백만장자의 첫사랑,amillionairesfirstlove,['멜로/로맨스'],['한국'], 2006.02.09,김태균,"['현빈(재경)', ' 이연희(은환)더보기']"
162148,샘,saem,"['멜로/로맨스', '코미디', '드라마']",['한국'], 2018.11.29,황규일,"['최준영(마두상)', ' 류아벨(그녀)더보기']"
154508,용순,yongsoon,['드라마'],['한국'], 2017.06.08,신준,"['이수경(용순)', ' 최덕문(아빠)더보기']"
168405,여중생A,studenta,['드라마'],['한국'], 2018.06.20,이경섭,"['김환희(미래 / 게임세계-다크)', ' 수호(재희)더보기']"
159805,흥부: 글로 세상을 바꾼 자,heungbootherevolutionist,['드라마'],['한국'], 2018.02.14,조근현,"['정우(흥부)', ' 김주혁(조혁)', ' 정진영(조항리)더보기']"
