old_index,title,release_date,series_or_movies,drama,comedy,action,thriller,romance,crime,adventure,animation,fantasy,family,sci-fi,mystery,horror,documentary,biography,history,music,short,sport,war,musical,reality-tv,western,game-show,talk-show,Title for Crawling,Image,korean_title,english_title,num_of_netizen
11515,Spirited Away,2003-03-28,Movie,0,0,0,0,0,0,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,spiritedaway,https://occ-0-2851-38.1.nflxso.net/dnm/api/v6/evlCitJPPCVCry0BZlEFb5-QjKc/AAAABaLhxIwy7v4DWacPPt7T2awtflyxqMRpv2zfjIV1dEkym12Z7m7mpyC_2KdlOwP7FQ5mBqQeL6AITEno6X9NAoUpTA.jpg?r=3cf,센과 치히로의 행방불명,spiritedaway,13583
11588,The Amazing Spider-Man 2,2014-05-02,Movie,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,theamazingspiderman2,https://occ-0-2851-38.1.nflxso.net/dnm/api/v6/evlCitJPPCVCry0BZlEFb5-QjKc/AAAABaIb_RAswPiq_fepelG7G_E5ETPumm9N67c3Ej2gaFeQRCKvNPY4NOK69u1P0nED7T1QgpZAnFNn_qQkz6buUPVVCA.jpg?r=9dd,어메이징 스파이더맨 2,theamazingspiderman2,13020
11598,Cyrano Agency,2010-09-16,Movie,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,cyranoagency,http://art-1.nflximg.net/4d897/b42f74c6381cda5b280cfd291399c8ac3874d897.jpg,시라노; 연애조작단,cyranoagency,9674
11610,The Con Artists,2015-01-09,Movie,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,theconartists,https://occ-0-64-58.1.nflxso.net/dnm/api/v6/XsrytRUxks8BtTRf9HNlZkW2tvY/AAAABb67maIHhlnwJm0CwqHw8iJ2Sh159ucaJCsBUagyPoXEDBLlMhVO_vNTav6BxgN_AzfcNL-LJ-eBrGI2Gmw8CEp_zw.jpg?r=093,기술자들,theconartists,8862
11611,Hot Young Bloods,2014-01-22,Movie,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,hotyoungbloods,https://occ-0-1007-1360.1.nflxso.net/dnm/api/v6/XsrytRUxks8BtTRf9HNlZkW2tvY/AAAABbuxmWyu2kB93ZEqY_J7fSGTg_3Mm5eLoKUihS65cyiFaesQ4XVFgWfsD5po7HlUYtadrZoXwchG7Ao8BJTuMmkuD8wuIUo.jpg?r=a4e,피끓는 청춘,hotyoungbloods,7312
11612,Architecture 101,2012-03-22,Movie,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,architecture101,https://occ-0-1007-1360.1.nflxso.net/dnm/api/v6/evlCitJPPCVCry0BZlEFb5-QjKc/AAAAAfVAsQPUgGQQsHRz3aZizFLCE4mZkrtV14eT2WDatPDcKSXIyjsDE3DphX32fZJenzZgYaQm7hjoEXB1-0x7lMr04A.jpg?r=810,건축학개론,architecture101,15294
11614,The Chronicles of Evil,2015-05-14,Movie,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,thechroniclesofevil,https://occ-0-1007-1360.1.nflxso.net/dnm/api/v6/evlCitJPPCVCry0BZlEFb5-QjKc/AAAABTLICoCuwLYEpa-EL2ZvOjEWgMprZFc4KAjEzqC3LXinFZEHqD5Y81e9YPOt7S12e__FMVuEqccIMHLmOqVp4CGeuQ.jpg?r=316,악의 연대기,thechroniclesofevil,7429
11618,The Treacherous,2015-05-21,Movie,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,thetreacherous,https://occ-0-1007-1360.1.nflxso.net/dnm/api/v6/evlCitJPPCVCry0BZlEFb5-QjKc/AAAABWbtGNZbXEe--bXnlbkngNITqD3NYnV6v2NlkvVrfddjroSwLFSjqb5FIaJLI5Hi3AP8yy6SNXZYA9lgegIqJxct3A.jpg?r=46e,간신,thetreacherous,6394
11624,The Fatal Encounter,2014-04-30,Movie,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,thefatalencounter,http://art-0.nflximg.net/4ae0c/fa046713290e743120218bcbcd2a3193fa64ae0c.jpg,역린,thefatalencounter,17061
11655,The Suspect,2014-01-10,Movie,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,thesuspect,https://occ-0-1007-1360.1.nflxso.net/dnm/api/v6/evlCitJPPCVCry0BZlEFb5-QjKc/AAAABQAqzEC43dzIaVTiS0bAc_zppHZXWs-4PbSGpwnrvgSqJtvNbymcWMVxVSTBwU8oeiAzqUkTcUit2K8xvVXnyl5-AA.jpg?r=04a,용의자,thesuspect,10709
