,Title,Release Date,Series or Movies,drama,comedy,action,thriller,romance,crime,adventure,animation,fantasy,family,sci-fi,mystery,horror,documentary,biography,history,music,short,sport,war,musical,reality-tv,western,game-show,talk-show,Title for Crawling,Image
86,The Big Shot,1942-06-13,Movie,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,thebigshot,https://occ-0-1361-988.1.nflxso.net/dnm/api/v6/evlCitJPPCVCry0BZlEFb5-QjKc/AAAABRnP7AI5Vcb2xKhSdV_BGeKjInW6W1-9xzPiycHqFKizMlB13aABFoy5p7lPvvieqL4TbYWbmIj3QwjYcPlEm3uWKw.jpg?r=590
87,Angels Time,1999-10-05,Movie,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,angelstime,https://occ-0-1361-988.1.nflxso.net/dnm/api/v6/evlCitJPPCVCry0BZlEFb5-QjKc/AAAABYjjiotW_nqV8T2VdCZTIjOTe9F3fc8D_YTg-L7vOXMvJnzGHRFTJbkAZjXS8RnPSd5xPE5Jkhz8wWAYN_kVCg8fjw.jpg?r=681
88,After My Death,2018-09-13,Movie,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,aftermydeath,https://occ-0-1361-988.1.nflxso.net/dnm/api/v6/evlCitJPPCVCry0BZlEFb5-QjKc/AAAABb_pqzhRzvoIinhvDuf_8lPtlU5uApfVK4E-mIno4tbiIH5hQfH6rl8BaOW_0TqhohmfhOLompj63UiyjtzuDyvh8g.jpg?r=fbd
89,The Age of Blood,2017-11-14,Movie,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,theageofblood,https://occ-0-1361-988.1.nflxso.net/dnm/api/v6/evlCitJPPCVCry0BZlEFb5-QjKc/AAAABa1FiwChZRdzfROcc1E3M9jTA8ALzpReZ0aukblY4Wl_SBL2ma25JDJ3JUy-Dbr4yjQZGe1VkqF58QpguKSg9Do2yg.jpg?r=733
90,The Accidental Detective 2  In Action,2018-06-22,Movie,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,theaccidentaldetective2inaction,https://occ-0-1361-988.1.nflxso.net/dnm/api/v6/evlCitJPPCVCry0BZlEFb5-QjKc/AAAABaHCjN-6B-wAcoCj9gnfYN2JM4X84Hr2sjzRcH-96qVn0e7F-9NmwackNzxSXlLcu9CfZK8Ar5Un5FhBXrc40GfsMA.jpg?r=489
91,12 Feet Deep,2017-06-20,Movie,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,12feetdeep,https://occ-0-1361-988.1.nflxso.net/dnm/api/v6/evlCitJPPCVCry0BZlEFb5-QjKc/AAAABd31kjW5D4tk1d0zP4EaPcJlZ5wYC9qvIlmcQ_9rP3HHUoWiOWVxze3meS8yac6yx7Vq-hFej_roysPgwcdBHjiufg.jpg?r=aa9
92,1987  When the Day Comes,2018-01-12,Movie,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1987whenthedaycomes,https://occ-0-1361-988.1.nflxso.net/dnm/api/v6/evlCitJPPCVCry0BZlEFb5-QjKc/AAAABZ4s5_1TWOC5V3oq5XD7jPijHsiW42SvEym4xH8MZ6lR_2SsQXJNeHbZxbysrTxwMtj1acNLBcg6luD_xCGqN20jvw.jpg?r=837
93,Enter the Fat Dragon,2020-02-14,Movie,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,enterthefatdragon,https://occ-0-1361-988.1.nflxso.net/dnm/api/v6/evlCitJPPCVCry0BZlEFb5-QjKc/AAAABVo7EJZXTZM9IE_tRfdaOkfyyuTzx--MPas37eckpDM0mutZNHpLUTeEO2YlWt7uERmbQNlXyXFgGtOQaN_gCLc76w.jpg?r=2a4
96,The Girl on the Train,2016-10-07,Movie,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,thegirlonthetrain,https://occ-0-3607-1432.1.nflxso.net/dnm/api/v6/evlCitJPPCVCry0BZlEFb5-QjKc/AAAABb3rZKfaauyN8WT8sbR5ff99IqyKg4vCVWv3UBB1iD9fZ37zoc9V8M0hi2WSyoUiivNzrdtUi5zSwVYReJLQoxgjFrMxCA0S1n2Or9W5VGviAkMMpR6J4NQy3kw.jpg?r=dfd
110,Made You Look  A True Story About Fake Art,2021-02-23,Movie,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,madeyoulookatruestoryaboutfakeart,https://occ-0-4039-1500.1.nflxso.net/dnm/api/v6/evlCitJPPCVCry0BZlEFb5-QjKc/AAAABRlXt2Hhvr1beUK_UXGRT-CFTHeXlL1JD3GBQMM0LYQLdxA_81TVVLa6xiikYUKo9odL5UF4zM41b-qJKMQfhdDp3w.jpg?r=0bf
