,old_index,title,release_date,series_or_movies,genre_list,drama,comedy,action,thriller,romance,crime,adventure,animation,fantasy,family,sci-fi,mystery,horror,documentary,biography,history,music,short,sport,war,musical,reality-tv,western,game-show,talk-show,img_link,imdb_votes
2853,8963,Damnation,,Series,"['범죄', '드라마', '서부']",1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,https://occ-0-2851-38.1.nflxso.net/dnm/api/v6/evlCitJPPCVCry0BZlEFb5-QjKc/AAAABa1u1AAO_WimfdHKs5UV7QcNnsAws5DqOUI2pcFzh3Uo5GuetpGyX4rNB6djgftpk9HQkFyEM-TdiqvxyhAQxY0-NeczKZu9LYuMNbnKGkaysgHISs7t1nWG6nU.jpg?r=cec,6923.0
954,3841,Babies,2010-05-07,Series,['다큐멘터리'],0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,https://occ-0-2851-38.1.nflxso.net/dnm/api/v6/evlCitJPPCVCry0BZlEFb5-QjKc/AAAABW08gLdxlXIJLbwpG93Hcl2jsqNLPSVc3LUhcOEb0Sk4SNt0Qwf3gGn-a_kZXV4P9ZBRcLd7T9RXkLB1TP627VheHYQK8PT34zB0NdRJKVcT6WLp6AYjBrOgaRs.jpg?r=6e3,6969.0
223,1061,Fabulous Lives of Bollywood Wives,2020-11-27,Series,['리얼리티'],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,https://occ-0-1068-92.1.nflxso.net/dnm/api/v6/evlCitJPPCVCry0BZlEFb5-QjKc/AAAABb73C7t1hhCrUaEYrmd5aVUqS7EOQA1AowuHtsUcsD1IiolH4SUIBouZ_AOImaoXFDwYvvgHMowPQUfse7wj3JkbPxh-tUdsMrLmP9HGBLL_jnx1MvG2nTOdXXA.jpg?r=423,7079.0
2279,7230,Car Masters  Rust to Riches,2018-09-14,Series,['리얼리티'],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,https://occ-0-2851-38.1.nflxso.net/dnm/api/v6/evlCitJPPCVCry0BZlEFb5-QjKc/AAAABauz9-JORl6760Yxzv7wrKfp56zusuvzIe2SY-iLnqTpbqwH8iwp4LpdSWbAQ4pgrmkHfP8Lgz9HAz-INSKrwUGY2ezO2tatx5rS8wqEU0c04GeY8ZRgKXyRBI8.jpg?r=897,7216.0
527,2073,Unsolved Mysteries,2020-07-01,Series,"['다큐멘터리', '범죄', '미스터리']",0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,https://occ-0-2774-2773.1.nflxso.net/dnm/api/v6/evlCitJPPCVCry0BZlEFb5-QjKc/AAAABadRxy0kWG7b7DJ8LRgq-6mLxjlzfMiVsGUPEDJyc7f2heIkYxah6RVm21o3s7SHpOIv9LeHG4FYyDCAWltfaqK2mETvHWl0atMgDRTvlKkoLwnTPrx7cwqFwvU.jpg?r=2aa,7365.0
834,3483,Too Hot to Handle,2020-04-17,Series,"['게임쇼', '리얼리티', '로맨스']",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,https://occ-0-2851-38.1.nflxso.net/dnm/api/v6/evlCitJPPCVCry0BZlEFb5-QjKc/AAAABWHIRwbqBolY3RAeNMvBtqo7ffXTrv813DOYJfQhLqiP1vxunzOzxAa9-EvO1pWeBm4p42DGAWa4YRLxEKqDhz6sRSyK6Axts6OmZ16Ab9hCiq6rYMgCB2AOKPM.jpg?r=935,7724.0
946,3828,The Trials of Gabriel Fernandez,2020-02-26,Series,"['다큐멘터리', '범죄']",0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,https://occ-0-2851-38.1.nflxso.net/dnm/api/v6/evlCitJPPCVCry0BZlEFb5-QjKc/AAAABaHTQ2rbancG9i4dcacRv-w8rQNi-wJqfDu_jGM4k6pQ5vAZ4rLmhIEsjPcJGDK578scb2wAnquQnzskKSrpmfpk83eHeQCFZN-cb05QWG5rz8ufHl9KC_fqZv0.jpg?r=a73,8201.0
1781,6015,The Disappearance of Madeleine McCann,2019-03-15,Series,"['다큐멘터리', '범죄']",0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,https://occ-0-2851-38.1.nflxso.net/dnm/api/v6/evlCitJPPCVCry0BZlEFb5-QjKc/AAAABSQe4Xm1ikIQ8-IyaNcwdCqaB5umgVhfBrVjXiOQw6FJY1WNV_t2iti_jIDNiZKfpVYWKXhcdzfQsHr7jzvf2x8bw_n-eQiHk5WZcGv0KlX8JtbSBO5pDAtuxho.jpg?r=0f0,8517.0
1293,4888,Inside Bills Brain  Decoding Bill Gates,2019-09-20,Series,['다큐멘터리'],0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,https://occ-0-2851-38.1.nflxso.net/dnm/api/v6/evlCitJPPCVCry0BZlEFb5-QjKc/AAAABcYzElDUmX0lrF0GrqzVaSyzApDIBgNb_ODVB02XtNZ-iGw86ELPnwrhbTkplkfUBkUBBJR5afz4Csi17ovrXrNPjjylucgbCOOXFcPKruMq470MRwg-jGofqVU.jpg?r=170,9130.0
595,2310,Crime Scene  The Vanishing at the Cecil Hotel,2021-02-10,Series,"['다큐멘터리', '범죄', '미스터리']",0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,https://occ-0-2773-2774.1.nflxso.net/dnm/api/v6/evlCitJPPCVCry0BZlEFb5-QjKc/AAAABdydS7y4sXu6W6GbxvRQMj0ta9-K8LeMUu0HnHukJA9UXkCSGWr360IGNTJzoz83dhIwrpFbxuM77Gc6hB6_Xs0fAHG4xV-FaADadAamvN-drdK564vXlgL5cjA.jpg?r=e3d,9642.0
