code,num_per_ages
172188,[]
10006,[]
101966,"['2%', '41%', '34%', '20%', '2%']"
47528,[]
66463,[]
45649,[]
149516,"['1%', '6%', '75%', '18%', '1%']"
134899,"['5%', '55%', '19%', '14%', '6%']"
151117,"['2%', '62%', '26%', '8%', '2%']"
138601,"['4%', '59%', '27%', '5%', '4%']"
147368,[]
161850,"['6%', '52%', '21%', '15%', '6%']"
58088,[]
130787,"['5%', '55%', '20%', '16%', '3%']"
36727,[]
34322,[]
10852,[]
16846,[]
92877,[]
60789,[]
75882,[]
165830,[]
169650,[]
41613,[]
73799,[]
137887,[]
60484,[]
17416,[]
29354,[]
38281,[]
175470,[]
199878,[]
10245,[]
168244,[]
201339,[]
178454,[]
100205,"['1%', '44%', '32%', '13%', '9%']"
170794,[]
158664,[]
152628,[]
174933,[]
16516,[]
112014,[]
123613,[]
127378,"['0%', '9%', '60%', '28%', '1%']"
164946,[]
157532,[]
181927,[]
146231,[]
164277,[]
158092,[]
152692,[]
47494,[]
144130,"['0%', '41%', '32%', '20%', '7%']"
154273,"['0%', '19%', '50%', '19%', '12%']"
117400,[]
176596,[]
171483,[]
85579,"['5%', '45%', '25%', '19%', '5%']"
74689,[]
175092,[]
116233,"['3%', '52%', '21%', '17%', '7%']"
175111,[]
184215,[]
190718,[]
28581,[]
174919,[]
12780,[]
167389,[]
37838,[]
88225,[]
194372,[]
194871,[]
162854,"['1%', '41%', '34%', '10%', '14%']"
173828,[]
166463,"['0%', '17%', '17%', '67%', '0%']"
168010,[]
206029,[]
180335,[]
173213,[]
170798,[]
163832,"['0%', '38%', '38%', '14%', '10%']"
162963,[]
44911,"['2%', '53%', '29%', '11%', '4%']"
168746,[]
178458,[]
140647,"['15%', '68%', '10%', '5%', '3%']"
171485,[]
171536,[]
153651,"['2%', '39%', '29%', '24%', '6%']"
171493,[]
174342,[]
30056,[]
26821,[]
174343,[]
164918,[]
47429,[]
164719,"['3%', '56%', '33%', '5%', '2%']"
15919,[]
157340,[]
152694,"['3%', '51%', '34%', '6%', '5%']"
172841,[]
172844,[]
152646,"['0%', '100%', '0%', '0%', '0%']"
10651,[]
58538,[]
16494,[]
167733,[]
10469,[]
146415,[]
172833,[]
155420,[]
129098,[]
